FirstName,LastName,Gender,DateOfBirth,PhoneNumber,BirthPlace,IsGraduated
Blondie,McKeever,2,1999/02/03,481-312-0776,88269 Alpine Point,true
Vernon,Deinhardt,2,1999/09/19,325-809-7286,4041 Susan Place,true
Brina,Christopher,1,1990/01/04,579-373-4183,02679 Buena Vista Junction,false
Alisun,Feedome,2,1997/01/07,597-521-9192,6 Manufacturers Hill,false
Gardie,Vlahos,1,1997/09/13,219-782-9241,8323 Dennis Crossing,false
Hewett,Mc Carrick,2,1990/09/09,919-405-7743,54308 Continental Park,false
Garrett,Floodgate,2,1994/05/19,347-260-8407,427 Sycamore Court,true
Maura,Culpin,1,1991/01/18,591-562-3670,455 Center Road,true
Adoree,Battershall,1,1998/03/25,891-919-3930,3561 Meadow Vale Court,true
Delcine,Bielefeld,1,1998/10/14,122-222-7016,0 Esker Park,true
Clayton,Wyatt,2,1994/07/12,832-928-2710,49 Sauthoff Avenue,true
Meggie,MacSherry,1,1992/10/25,465-220-6548,34 Artisan Way,false
Karilynn,Karpman,2,1999/08/09,637-752-5585,7901 Declaration Park,true
Agustin,Blodgett,2,2000/06/15,664-976-2290,070 Waywood Trail,true
Diena,Trobridge,2,1999/12/25,622-773-7258,54562 Moose Alley,false
Rory,Mellmoth,2,1994/09/24,880-651-9191,27 Fulton Trail,true
Kayley,Gehricke,2,2000/07/03,588-951-0130,5 Waxwing Circle,false
Jens,Tackley,2,1999/11/27,896-582-9783,6672 Spaight Center,false
Obadias,McConnal,2,1995/04/24,620-389-9446,9036 Thompson Circle,true
Gram,Vanner,2,1999/02/23,285-332-5170,5817 Trailsway Place,true
Claiborne,D'Adamo,2,1993/02/01,395-311-4933,9 Anthes Junction,true
Catherine,Medley,1,1999/09/10,591-520-3649,82530 Mitchell Alley,true
Christina,Barge,2,1993/01/31,684-365-5975,5 Grim Hill,false
Cherice,Humpherson,2,1994/03/13,929-571-3538,08614 Esker Crossing,false
Mariann,Mueller,2,1993/01/13,781-987-3378,4 Springs Crossing,true
Wolfie,Cheng,1,1997/12/20,178-998-5494,03231 Beilfuss Junction,false
Dorine,Saxby,2,1997/03/10,160-357-1389,44525 Marcy Terrace,false
Donalt,Cartmale,2,1993/06/09,487-577-4999,63491 4th Way,true
Klaus,Leech,1,1995/03/23,301-988-4687,567 Granby Parkway,false
Jolee,Compford,2,2000/07/03,559-809-9028,316 Clemons Alley,false
Benedetto,Capelin,2,1997/11/19,906-509-3807,57 Ludington Parkway,false
Gweneth,Van der Veldt,2,1994/10/20,295-781-7305,7745 Esch Circle,true
Farleigh,Maplethorpe,2,1998/09/23,317-939-9339,2 Gina Crossing,false
Aldo,Radford,1,1990/06/27,947-555-3961,2 Bunker Hill Center,false
Waverly,Obeney,2,1999/06/18,176-671-5247,08804 Mariners Cove Center,true
Idell,Domenici,1,1999/12/02,236-453-0603,817 Mendota Terrace,false
Marta,Humbell,1,1998/07/11,611-460-5108,43074 Daystar Plaza,true
Gonzalo,Commings,1,1993/06/06,249-684-4627,6 High Crossing Court,false
Codi,Dymott,1,1994/07/28,575-393-1943,741 Jana Junction,false
Greg,Burgise,1,2001/01/15,968-838-9979,17005 Canary Pass,true
Joe,Rany,2,1997/03/30,859-768-9229,88 Ramsey Drive,true
Livvyy,Timothy,1,2000/10/14,170-207-2612,9185 Weeping Birch Plaza,false
Becka,Crankhorn,1,1991/06/29,411-952-2194,46521 Fieldstone Way,true
Zarla,Matuszynski,1,1999/11/15,371-776-4749,7916 Loomis Alley,true
Nonna,Scamel,1,1997/02/10,548-218-6986,69635 Old Gate Lane,false
Homer,Larver,1,1994/11/09,354-723-7463,63 Union Way,true
Rolland,Gleaves,2,1998/01/09,142-446-1551,9030 Jay Plaza,false
Augustus,Ishchenko,1,1998/01/12,494-627-6939,708 Northview Lane,true
Barb,Jarman,1,1997/04/19,727-648-9333,5 Mcbride Junction,true
Marlo,Gregore,2,1995/11/25,620-255-4802,8 Blue Bill Park Street,false
Lizbeth,Caroll,1,1993/01/30,795-421-9408,939 Briar Crest Plaza,true
Myrtia,Bowskill,1,1995/10/02,630-238-2254,6 Calypso Road,true
Hinze,McCaughran,2,1990/02/26,664-773-4753,65876 Kropf Pass,true
Zorah,Ballintime,1,1993/03/21,352-171-3787,8 Hollow Ridge Avenue,true
Kamila,Andreotti,1,1999/09/10,413-245-8518,3370 Glendale Point,true
Nicoli,Bulcock,1,1991/06/10,906-265-3243,9449 Cambridge Drive,false
Ardenia,Osorio,2,1999/10/11,636-789-4815,898 Towne Parkway,false
Kris,Redan,1,1998/05/09,337-253-6300,88 Bobwhite Road,true
Lilith,Mapother,2,1992/01/27,471-486-8710,059 Bayside Circle,false
Emory,Halbeard,2,1991/01/05,108-931-4745,575 Kipling Place,false
Vita,Wapple,1,1993/04/03,683-613-7204,40 Walton Center,true
Paulo,Pritchitt,1,1993/04/06,242-942-6083,63215 Holmberg Alley,false
Lorens,Vasyunkin,1,1994/05/05,148-587-1376,098 Hermina Alley,true
Margo,Castagnet,2,1996/08/08,266-472-2261,151 Comanche Circle,false
Angelia,Fulkes,1,1992/07/03,936-251-9230,1 American Ash Trail,false
Hillel,Durrans,2,1993/04/08,680-390-2099,09476 Stephen Crossing,true
Hadlee,Jelleman,2,2000/04/27,855-398-2710,256 Anniversary Court,false
Kati,McDiarmid,2,1990/02/20,246-891-4495,74646 Debs Center,false
